NAME,SUBSCRIPTION,LOCATION,
"databricks-rg-de-adworks-databricks-npcowsaxiu5ic","Azure for Students","Southeast Asia"
"de-adworks-rg","Azure for Students","East US"
"NetworkWatcherRG","Azure for Students","East US"
"synapseworkspace-managedrg-a1dbcbb7-739f-4224-a338-004390d74925","Azure for Students","Southeast Asia"
